Question,Answer
"¿Qué es Standard Sales Manager?","Standard Sales Manager (SSM) es un software profesional de cotizaciones diseñado para PYMEs B2B. Permite crear cotizaciones en PDF en menos de 1 minuto, gestionar contactos, hacer seguimiento comercial y analizar el rendimiento de ventas. Disponible como aplicación de escritorio (Windows) y app móvil (Android)."
"¿Para quién es SSM?","SSM está diseñado para PYMEs B2B que necesitan crear cotizaciones profesionales, hacer seguimiento comercial y gestionar su equipo de ventas. Ideal para empresas de manufactura, servicios industriales, tecnología, consultoría y cualquier negocio que envíe cotizaciones a sus clientes."
"¿En qué plataformas funciona?","SSM funciona como aplicación de escritorio en Windows y como app móvil en Android. Los datos se sincronizan automáticamente entre ambas plataformas a través de la nube."
"¿Mis datos están seguros?","Sí. Los datos se almacenan localmente en tu computador y se sincronizan de forma encriptada con la nube. Solo los usuarios autorizados de tu empresa pueden acceder a la información. Las cotizaciones generadas requieren clave de administrador para ser modificadas o eliminadas."
"¿Cómo activo la prueba gratuita?","Descarga el instalador desde stdsalesmanager.com, instálalo y al abrirlo selecciona Activar Demo. Tendrás 20 días de acceso completo sin necesidad de tarjeta de crédito."
"¿Qué incluye la prueba gratuita?","Todas las funcionalidades sin restricciones: crear cotizaciones, exportar PDF, gestionar contactos, analytics, multi-idioma y sincronización con la app móvil."
"¿Qué pasa cuando termina la prueba?","El software se bloquea pero tus datos se mantienen intactos. Al comprar una licencia, recuperas todo tal como lo dejaste."
"¿Necesito tarjeta de crédito para la prueba?","No. La prueba gratuita de 20 días no requiere tarjeta de crédito ni datos de pago."
"¿Cuánto cuesta SSM?","Desde $5 USD/mes para un usuario individual. Hay planes para equipos y empresas con precios por usuario. Consulta stdsalesmanager.com para ver los planes actualizados."
"¿Cómo se paga?","Actualmente por transferencia o contacto directo. Escríbenos a oscar@standard.cl para activar tu licencia."
"¿Puedo cancelar en cualquier momento?","Sí, no hay contratos de permanencia. Puedes cancelar cuando quieras y tus datos se mantienen accesibles localmente."
"¿Hay descuentos por pago anual?","Sí, el plan anual tiene descuento respecto al pago mensual. Consulta los planes en stdsalesmanager.com."
